,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
46," Jul 27, 2015",empReview_7366696,Current Employee - Sales and Marketing,I have been working at Snap full-time (Less than a year),An incredibly exciting environment,"-Snapchat NYC is a blast. In less than a year, the office has grown immensely. You won't find any bean bag chairs or ball pits here like at other startups, but you will find a small, scrappy group of enthusiastic folks building a vibrant team in New York.-If you work hard and seek out new ways to help your team, there's a ton of potential to move up and even take on new responsibilities within the company (even in Snapchat's LA headquarters). We're growing fast!-Really enjoy Council, Snapchat's every-other-weekly ""talk about your feelings"" group sessions. The NYC team is super high-energy, so it's always fun and maybe even sometimes enlightening!","-Working with west coast folks can be tough because of the time difference, but rest assured you'll never be alone in the NY office. Between the sales team and the round-the-clock curation team, there's always someone to hang with (or grab Shake Shack with).-Like I said, the office is very high energy. It can get loud!-Don't expect much hands-on time with the CEO. But.... do expect late-night karaoke and bonding with the NY team!",More places to meet. Two conference rooms is not nearly enough.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW7366696.htm
47," Jun 28, 2015",empReview_7047949,Current Employee - Anonymous Employee,I have been working at Snap full-time (Less than a year),"Not perfect, but getting there","+fast growing platform that is truly changing the way we communicate+incredible pay+great, smart engineering team+ability to execute quickly on projects and ideas","+tempestuous and cocky ceo.+many inexperienced coworkers. lots of kids hired because they went to crossroads with evan or are someone seemingly important's kid+splintered offices in an isolated, expensive location. very poor sense of company culture.","get a real COO that will foster company culture. i really cannot emphasize how important it is to have a mission statement and credo outside of vague and tired axioms. a company will die without one (see nasty gal's internal implosion as a great example.) and we REALLY need one, central office in a better location (sorry, but venice is godawful and incredibly expensive to boot) we need more mature c-levels and directors as well. i'm excited to see what will fall into place post-IPO and i know snapchat is the future.",3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW7047949.htm
48," Aug 11, 2015",empReview_7540502,Current Employee - Anonymous Employee,I have been working at Snap (More than a year),Snapchat is,"Snapchat is building the world that I not only want to live in, but more importantly, want to help create, and we're doing it with an absolutely amazing team - brilliant, humble, focused, and ambitious.I'm particularly inspired and impressed by the manner in which we've designed a place and fostered a community that honors and appreciates experimentation, boldness, creativity, and truth. And how, in doing so, we're enabling, encouraging, and inspiring everyone (particularly artists, journalists, musicians, actors, and directors) to create and share feelings, emotions, expressions, works of art, and themselves with Snapchat, on Snapchat, and for the world.Just thinking about the impact that this will have, the industries that we will transform, and the future that we are creating excites and invigorates me.","What's good:+ The people and kind and empathetic; I’ve seen the team go above and beyond when someone is having a hard day or going through a family tragedy.+ If you’re a voracious learner there is no better environment to grow than a fast paced start-up; I'm given a huge amount of autonomy and ownership, which at times can be scary but, in a little over a year I’ve grown so much. I am so grateful for the opportunity. Also we have awesome speaker series!+ We have a lot of fun; whether it’s blasting music on Friday’s, spending time at team-offistes, beach volley-ball games, or getting together for an hour on Wednesday’s for a company sponsored council.","More structured performance evaluations, greater insights in to up-and-coming products and overall strategy.",5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW7540502.htm
49," Aug 2, 2015",empReview_7434378,Current Employee - Software Engineer,I have been working at Snap full-time (Less than a year),My Heart is in the work here,"- I just joined some 3-4 weeks back, but the kind of responsibility and ownership I have is a lot- Love the technology here- Incredibly helpful and smart co-workers- Growth potential and impact are beyond any measures",Teams are spread apart and it is hard to know what's going on in other teams.,Build more impactful teams and recognize impactful talents.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW7434378.htm
50," Jun 17, 2015",empReview_6941153,Current Employee - Product Designer,I have been working at Snap full-time (More than a year),Great place to work!,-open environment for collaboration-make an impact at all levels-work touches millions of users-free food-amazing office in Venice California,-work/life balance-fast paced work environment may be difficult for some-housing close to the office can be expensive depending on standards,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6941153.htm
51," Jun 18, 2018",empReview_21096853,Former Employee - Anonymous Employee,None,Great,"Great place to work, especially in Venice.",Was difficult when company was growing.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW21096853.htm
52," Jun 20, 2018",empReview_21125677,Former Employee - Business,I worked at Snap full-time (More than 3 years),"Exciting, disheartening, overwhelming","-Your product is being used by hundreds of millions of people-Comparable perks to other top tech companies (food, health, gym, PTO, 401k etc)-Most regular employees are pretty amazing; I’ve made lifelong friends","-Absolutely toxic culture...constant fear of layoffs, Evan (CEO) suddenly pulling plug on a project-Soulless and heartless management-Company is willing to spend tens of millions a year on events, parties, millions of dollars of security for Evan, private jets for execs, Evan takes the biggest payout in the history of the corporate world...but then we trim certain snacks because they’re slightly too expensive and layoff hundreds of employees (many of which could’ve found a home on a different team) in a cost cutting exercise-We’re absolutely losing the war against our competitors and it was tough to watch it happen-Can’t trust anyone","Practice our values (kindness, creativity, etc), listen to your customers and employees. This isn’t Spiegel’s dictatorship.",2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW21125677.htm
53," Jun 26, 2018",empReview_21221663,Current Employee - Software Engineer,I have been working at Snap full-time (More than a year),Sinking Ship,"- The good engineers are good- Depending on your team, you can get a lot of flexibility- Food is provided- Pay is decent for LA Area",- Upper Management are not transparent- Perks are getting worse and worse every year- Teams compete with each other instead of working together- Team members' feedback don't seem to be addressed- There's really no culture. Most people are here for the paycheck.,Be more transparent about what's going on.,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW21221663.htm
54," Jun 4, 2018",empReview_20888526,Current Employee - Engineering,I have been working at Snap full-time (More than 3 years),Fun overall -,"- large level of ownership provided to each engineer, ability to make a difference and launch features- some reviews talk about work-life balance issues, however I see that balance is up to the employee...they can really go for it and deliver a lot...then get recognized and promoted a lot based on performance, or they can take a more balanced approach and still do well. It is not a place to rest.- product roadmap has been impressive since I arrived, and keeps getting more compelling.- the people are incredible. everyone is very smart and has great ideas. Overall teams are great at delivering.- Ideas are encouraged and can come from anywhere in the company. Does it make sense to do every idea? (no) . Do you have to work and learn how to sell your vision of the idea. (yes).- Company and senior management appear to take lessons to heart from feedback (employee & product decisions & customers/users) and make the best decisions for the users/company/employees.","- yes there is some privacy...but this is largely to prevent competitors from learning and scooping our products.- quite a bit of stock volatility since it is a young company, still working to profitability- company can continue to get more transparency internally. This has changed a lot this year, now bi-weekly senior management Q&A's, Evan regularly speaks to all of Snapchat on an at least monthly basis.",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20888526.htm
55," Jun 6, 2018",empReview_20926213,Former Employee - Anonymous Employee,I worked at Snap full-time,Content Analyst,"Company perks, hourly wage, office space","No transparency, poor management, toxic culture",Provide career trajectory and constructive feedback for employees,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20926213.htm
56," Jun 24, 2018",empReview_21186618,Former Employee - Counsel,I worked at Snap full-time (More than a year),"Fun parties, awful management",-Great benefits-Lavish company parties-Free food (but definitely impacted by recent cost cutting),"-There are some wonderful people here. But they are weighed down by ineffective leadership who foster an awful corporate culture that lacks transparency, accountability, and professional respect.-Executives aren’t transparent or accountable. Period. Leaders don’t own their mistakes or apologize for tough/bad decisions.-Employees are treated like commodities and many managers act like petulant tyrants (following Evan’s example).",Evan needs a grown-up COO. Everybody knows it and nobody has the guts to say it. Snap will continue to be a terrible place to work until the right leaders are installed/replaced across the company.,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW21186618.htm
57," Apr 23, 2018",empReview_20271050,Former Employee - Anonymous Employee,I worked at Snap full-time,All that glitters is NOT gold,"In my exit interview, I was asked what I would miss the most about Snap and my honest answer was: the people.It was a pleasure being surrounded by such smart, hardworking, unique, caring during my time at Snap. Working alongside people that have come from such diverse backgrounds, with such rich work histories & experience - that was a really amazing experience. It was understood that we all were in a situation that we did NOT sign up for, but the unity, camaraderie, and persistent hard work was really heartwarming.I'm not so sure if that positivity remains anywhere in Snap's current state today, but to any new hires joining - please seek out whatever is left of a positive hardworking and motivated employee base.","The Snap culture & work environment truly brings out the worst in people. During my time at Snap, I experienced new people joining my team, as well as other orgs across the company. I would say their first 4-6 weeks are driven by adrenaline and whatever false allure they were brainwashed with during orientation. After that adorable period passed for many (and myself), I witnessed the true demise of a human being. Those fresh, excited, confident, motivated, passionate employees that first started completely evolve into over-worked, underpaid, exhausted employees.It was shocking to see such a lack of empowerment and enablement at this company. And I blame this all on management, for preaching a ""kind, creative, and smart"" culture but literally embodying the exact opposite. And in terms of your manager being able to invest in your growth and performance - this will not happen, because he/she 1) should probably not even be in a manager position and/or has no capacity/time to invest in your growth. That is not, and will not ever be a priority.The top-down culture at Snap is truly toxic. If you have a voice, opinion, suggestion, recommendation - good luck finding an environment to actually be heard. This company does not really encourage true genuine feedback.",Remove yourself in order to save the company.,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20271050.htm
58," Jun 15, 2018",empReview_21063156,Former Employee - Finance & Accounting,I worked at Snap (More than a year),Do not work at Snap Inc.,"Santa Monica location is a plus. Big step up from the seedy streets of Venice, where employees were constantly harassed.","Immature culture, incompetent management. Lack of respect all around.",Treat your employees better. Give them bonuses instead of throwing a multi-million dollar New Year's Eve party just to boost your ego.,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW21063156.htm
59," Jun 15, 2018",empReview_21062972,Current Employee - Anonymous Employee,I have been working at Snap full-time,Unclear Goals,I like my coworkers,I have been here 3.5 years and I have never had a review or conversation about my career growth. I have had 6 managers. Don't feel valued .,None,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW21062972.htm
60," May 31, 2018",empReview_20836259,Former Employee - Anonymous Employee,I worked at Snap full-time (More than a year),Had high hopes,- Larger exposure to business than most competing companies - Fun product - Interesting/high level tech in certain areas - Fast growth (previously),"- Leadership, primarily senior, has very little experience outside of Snap and it is very apparent - Back weighted vesting schedule creates lack of drive and interest in work - Lack of communication from execs/CEO - Career advancement is based on favoritism and office politics, not performance - Decisions are made in a vacuum - People work out of fear rather than passion","Communicate, realize your downfalls and try to adjust, and create a bottoms up management style as opposed to a complete top down which it currently is",1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20836259.htm
61," May 7, 2015",empReview_6536346,Current Employee - Anonymous Employee,I have been working at Snap full-time,Secretive Culture,It is a company with a lot of potential.,Bad management. Secretive culture. You have to drink the Kool-Aid or you are shunned.,None,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW6536346.htm
62," Aug 28, 2014",empReview_4868280,Current Employee - Software Developer,I have been working at Snap full-time (Less than a year),Excellent decision to work here!,"Given the general media perception of the company, when I joined the company, I was expecting it to be less serious and more flamboyant than most new age tech firms today. However, Snapchat is a place that turned out to be as, if not a little more serious, than most of them. The people here are extremely driven and motivated.I think what drives a lot of Snapchat's views, beliefs, and policies, is the fact that it has not let its ideologies be motivated or influenced by external stimuli. Most of the decisions taken here are very objective and independent, and unlike a lot of what I saw at various Bay Area firms. A lot of this originates from the upper level management.My favorite thing about working here is being in the middle of such a rapid and crucial growth phase. Being an active part of such growth is a very educational process, and it is really motivating to see people going above and beyond to push the company forward. It really shows and promotes a general sense of ownership and dedication.","Rapidly growing company size means reducing personal touch with everyone else. Also, it would be nice to have more company-organized and company-wide activities.",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW4868280.htm
63," Aug 28, 2014",empReview_4863647,Current Employee - Software Engineer,I have been working at Snap full-time (Less than a year),An extremely challenging/rewarding work experience,Being able to take ownership of huge projects that will have a direct impact on the product.Having passionate coworkers.Being lead by people with an amazing vision for the company/product.Seeing others use the product every day.Working on innovative features.Having lots of responsibilities.,Having lots of responsibilities means having to work. A LOT. But that's part of the fun.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW4863647.htm
64," Aug 18, 2014",empReview_4801614,Current Employee - Anonymous Employee,I have been working at Snap full-time (More than a year),Highly recommended,"One of my favorite things about working at Snapchat is seeing people use the application. I can't remember the last time I was out and didn't see a random person on the street using our application. It's incredibly rewarding to see people use and love the application that you helped create.Also, being a part of a company that is growing quickly also accelerates your learning as you get to see and help to solve the problems that companies face at each stage of growth.","The biggest con is the stress of the work. A lot is expected of you, and a lot of responsibility is thrust upon you.",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW4801614.htm
65," Aug 18, 2014",empReview_4802190,Current Employee - Anonymous Employee,I have been working at Snap full-time (Less than a year),No Other Place I Would Rather Work!,"- Amazing leadership team that inspires innovation and design thinking throughout the product and company culture- Family atmosphere without organizational politics. Exceptionally talented, educated and humble colleagues.- Focused on delivering a personal and fun customer experience- Opportunity to see the product and market impact of your contributions. Empowered to make product decisions.- Excellent work environment: State of the art technology, software tools and well designed work spaces.- Food: Onsite professional chef with 95% organic food, ie salads, salmon and rib eye steaks!- A block from Venice Beach. Amazing weather and air quality. Located in the heart of art, fashion and fun.- Daily commute: 7 minute bike ride along paved beach bike path - view of surfers and Bay Watchers in training- Highly competitive financial incentives, medical / dental insurance, retirement plans, and perks",- Rapid growth of the company has impacted car parking- The dining hall is reaching capacity due to rising headcount- Monthly sunblock purchases ; ),"Continue the pace of talent acquisition, making bold choices, and focusing on customer experience. You are on the right path!",5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW4802190.htm
66," Jul 12, 2014",empReview_4568454,Current Employee - Anonymous Employee,I have been working at Snap full-time (Less than a year),Amazing place to work,"- very smart and focussed team- momentum and pace of product evolution- ability to influence- great work environment (office space, snacks, equipment etc.)- company care about team- management are very focussed and encourage debate- some very strong senior hires recently",- growing very quickly - no longer as personal- no gym,Keep it going.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW4568454.htm
67," Jul 7, 2013",empReview_2800001,Current Employee - Software Engineer,I have been working at Snap full-time (Less than a year),Amazing place to work,* Small team* Well funded* Intelligent and dedicated coworkers* Huge impact on product that has pretty large user base* Work out of a beach house* Salary competitive to large tech companies - not a startup salary* Lage equity grants* Good connections* Office is on Venice beach - balcony gives great view of the ocean* Vision is inspiring,* Beach house can be distracting* Lot of work - some social sacrifices need to be made* Lot of responsibility over product - stressful at times,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW2800001.htm
68," Jun 9, 2018",empReview_20967613,Current Employee - Anonymous Employee,I have been working at Snap full-time (More than a year),Anonymous,"Great office environment, Frequent inter-departmental collaboration, Strong team bonds and chemistry, Great benefits and stock options.","Occasional communication issues with LA management, Staff continuity planning, Frequent meetings, Poor staff turnover rate","Provide more clarity on the direction of the company and department, Reduce the frequency and length of meetings.",4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20967613.htm
69," Jun 18, 2018",empReview_21095512,Current Employee - Account Manager,I have been working at Snap full-time (More than a year),Terrible Middle Management and Questionable Executive Team,- The people under middle management are some of the smartest and most creative people that I've ever met.- Benefits are decent,- Middle management is all about the political game.- The executive team at Snap is made up by many of Evan's frat buddies- Salary is well below what other tech companies pay in similar market by almost 40%.,"Stop playing politics and start understanding the your employees' needs, desires and why they are leaving at a high rate.",1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW21095512.htm
70," Mar 9, 2018",empReview_19610111,Current Employee - Operations,I have been working at Snap full-time (Less than a year),"Toxic company culture, shocking management and an incompetent CEO","- The idea/concept actually works, even in it's terrible format of Snapchat app it is something people actually like, which makes this all the more tragic.- The logo is cool I guess and LA is a good base to work/live from.","- Management is terrible. This is mostly down to the fact that every manager who works there, for the most part has no major experience in that role. Heads of departments are ex Accenture folk with no real leadership or failed ex startup leads who continue to not understand the scale up process.- CEO is just weird, seriously.. The emails that he sends with attached Google doc patronising advice that literally sound ridiculous, it's so cringe. I get wanting to be like Steve Jobs but be realistic.. Also laying off people but then throwing a $4 Million dollar Xmas bash? Insensitive would be kind..- Culture is toxic. There is no ability to discuss products, everything is super secret and even the changes sometimes don't show face till they get pushed public. Product feedback is treated with no respect, Evan's product mind apparently knows no feedback so we just push a redesign that sucks, even though everyone at the company said..'it sucks'. You can't just see data either, it's very private so doing data driven decisions is pretty much impossible.- Team managers especially within Ops are out to make a career for themselves, not better Snap. At each turn it is evident where they cut corners, waste money and make terrible decisions based on politics and ego then on what's wise.","Stop hiring your ex coworker friend's, creating a safe haven clique is all good and fun till you ruin the culture and stop getting the work done. Make it a fun place to be so that after a year I am not the only person from my starting group left at the business pretty much.",2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW19610111.htm
71," Apr 8, 2018",empReview_20067662,Former Employee - Anonymous Employee,I worked at Snap full-time (More than a year),"The app is fun, not the job",PaySome good perksThrowing millions dollars parties every 3 month,Managers have no experienceAwful culture,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20067662.htm
72," Apr 27, 2018",empReview_20344768,Former Employee - Anonymous Employee,I worked at Snap full-time (More than a year),I hope they figure it out,-Exciting company with the opportunity to become a major player-Innovative product-Great benefits-Decent Perks,-Culture and work environment are in complete disarray-Highly political environment-Inexperienced leadership-High pressure and unrealistic goals bring out the worst in people-Completely ineffective HR,"Focus on fixing the culture and empowering the right folks to lead key functions. The current broken culture, which rewards political maneuvering and throwing others under the bus will be the downfall of the company unless fixed. Categorically cease to allow the kind of inappropriate and abusive behavior to which I and many other colleagues were subjected not only to promote a working environment where smart people can succeed, but also to protect shareholder value at the risk of a major scandal emerging. Find the right leadership with true operating experience, and empower them to overhaul the business. “Do more with less” and “out-innovate the competition” are execution plans, not strategies. The company has so much potential if it can just figure out how to get out of its own way.",2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20344768.htm
73," Apr 25, 2018",empReview_20312500,Former Employee - Software Engineer,I worked at Snap full-time (Less than a year),Weak Management,"Great product, and passionate user base.","The Engineering leadership is really week, can't stand up to arbitrary whims of an inexperienced CEO.",None,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20312500.htm
74," Mar 10, 2018",empReview_19623292,Former Employee - Anonymous Employee,I worked at Snap full-time (More than a year),The Culture is Broken. The Morale is Sinking.,"1) You will meet some of the brightest and kindest co-workers in your journey. They are incredibly creative and fun to be work with. For many employees (especially those who are new), they come in motivated and ready to change the way we see the camera and the way we communicate.2) Although it's slowly diminishing, there is still high potential for the company. The world is truly Snap's oyster and if they turn the ship, it can shape how we create content, how we communicate and how we engage with the social world.3) The benefits are among the best I've seen. Several cafeteria options in Venice and ample options in the form of Meal Cards elsewhere. Health insurance is 100% paid for. Fully loaded kitchen with plenty of snacks, drinks, beer, cold brew, etc. Compensation is relatively generous depending on your position (not all). And beyond that, there are plenty of smaller things in your benefits package that many don't take advantage of -- One Medical membership, gym discounts, etc. They have a structure that wants to promote kindness to all of its employees.4) CEO is a true visionary.","Sounds like a lot of good stuff, right? Each of the above points have a counterpoint that makes many things null and void.1) Some of the brightest and kindest co-workers in your journey will be passed over for promotions and raises. They will be taken advantage of. Often times, especially in the past few years, they will be let go. There are many employees who come in motivated and energized, competent to change the way things are done. But by the time you're leaving Snap, their energy is drained, their vision is beaten down, and their voice is rendered mute. I've seen Snap slowly drain the life and the soul of some of the smartest minds in the business. They work nights and weekends for a project only for the executive leadership to make a U-turn. Meanwhile, I've seen some of the least deserving employees be given promotions because they simply know how to play the political game very well. This is true for many companies, but trust me when I say it is especially true here.2) Potential is all that is.. potential. Unrealized potential is a frustrating morale killer. Another review mentioned this before, but it is not a fast-moving company. It is fast-moving in the sense that exec leadership may surprise you with new product developments that will force you to cram your work. But it is slow-moving in terms of your ideas (any ideas below the highest exec levels) getting in the pipeline. Often times, Snap is a place that moves 2 steps forward, 4 steps back. I honestly hope this changes. Nothing would make me happier to see leadership turn the ship and realize that potential. There was a reason I signed up years ago.3) The benefits are great, but as you will soon find out in many tech companies and start-ups... great perks are often a band-aid to cover up much more cancerous issues underneath. The culture and morale of a team is built from the top-down. Unfortunately, Snap's culture is built on secrecy, belittlement, threatening emails and ignorance. Often times, their programs and their perks do not fix the true issues of their company.Example 1: Following criticism of tech world's lack of diversity, everyone had to attend a mandatory diversity training course. But if you check out the true decision makers... well, you can do your own research. Changes in diversity and inclusion start from the top and start with how you hire those in positions of power.... not with a 1-hour course.Example 2: They talk about family being an important part of Snap's culture. They even have Make-a-Wish programs that help certain employees in deep need. But on the day-to-day, they are a company that outwardly has said does not believe in work-life balance. That is not just denied. That is amplified. In addition, I've seen co-workers whose spouses and mothers were escorted out of the office like they were fired (for security reasons). Soooo... family is super important except work is more important and we will walk them out without dignity or respect.4) As the company grows, more people must be put in positions of leadership and power. Unfortunately, several of these leaders are unavailable, unqualified and awful people managers. Most importantly, several leaders don't have real power to change anything. They hear the ideas and the complaints of their direct reports, only to scream that feedback into an abyss that highest levels of upper management does not hear or respect.A few other notes:-- People do not trust the HR department here.-- There is no logic to the decision-making here or little transparency in the decision-making.-- I'll echo another review here: Contractors beware.-- Job security is always low.-- Exceptions are always made for those in power. They want to appear to have a flat structure, but it's more like a plateau, a true disconnect from the top and everyone else.","Ask yourself if the culture is broken and if the morale is low. Ask those outside your inner circle, away from the yes-men and yes-women to see if they believe the culture is broken and if the morale is low. Since there is a culture of fear in your company, make sure that you are asking them in the right way.Afterwards, ask yourself who is responsible for that low morale and that broken culture. If you want to blame those below you and keep rotating them out of the company, sure. But do some soul searching and ask if maybe it's the upper management who has failed to lead the right way. And then, don't just acknowledge it to yourself. Change the way things are done. Show more humility. Do your best to close the divide from the top and everyone else.",2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW19623292.htm
75," May 12, 2018",empReview_20551278,Current Employee - Data Scientist,I have been working at Snap full-time (More than a year),Do not work here. Management is the worst.,"Great benefits: meal card for use at restaurants, unlimited vacation, incredible surrogacy benefits. Many other great benefits. And some lovely brilliant coworkers.","A penchant for hiring sociopaths in management positions. You will never be acknowledged for your work. Cut-throat environment and workplace politics make managers act in awful ways, and promote unethical behavior, e.g. your managers will sabotage you and take credit for your work, especially if they are under any pressure themselves. This culture emanates from the top down. You will never receive any visibility or acknowledgement for your work. There is always a reorg going on. Policies change daily. Everyone (even HR!) will tell you something to your face and then act differently behind your back.","Truly, you are awful shady lying unethical people. Acknowledge that and fix it.",1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20551278.htm
76," Apr 10, 2018",empReview_20104270,Current Employee - Anonymous Employee,I have been working at Snap full-time,Not a data driven company,"Young, smart, fun company to work for. Silicon valley atmosphere outside of the Bay Area.","Decisions are not driven by data. Most of the decisions come from the top without any actual customer validation/feedback. Siloed, compartmentalized information all around.","Improve transparency and communication. Involve user feedback, focus groups, etc into product design decisions.",2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20104270.htm
77," May 5, 2018",empReview_20450032,Former Employee - Anonymous Employee,None,Too little too late,"Interesting projects, smart people, innovate culture","Inexperienced mamagement, bad decision making, negative environment",Culture is an issue. Fix it.,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20450032.htm
78," Feb 2, 2018",empReview_19051531,Former Employee - Graphic Designer,I worked at Snap full-time (More than a year),"Great Benefits, Unqualified Leaders","Amazing benefits that are hard to beat, free lunch, free breakfast 3 days a week, free healthcare","Snap is known for having bad HR and unqualified leadership. I experienced this first-hand during the year I spent with the company. HR openly speaks about other employees and their performance on the phone in the open-space environment, they can not keep matters that don't involve leadership confidential (even when asked to both verbally and in writing). Additionally almost every person in a leadership position in the company is not experienced enough or qualified to be in that position.As a woman, I found out my male counterparts were making more money than me (I have a master's degree when none of them do). When this matter was brought up to HR it was flat out ignored and instead a promotion was promised and dangled over my head until the working environment became so unjust and hostile that I quit.The culture is also very ""bro-y."" It is clear that men are valued more in this company than women are.",Have integrity.,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW19051531.htm
79," Apr 21, 2018",empReview_20252644,Former Employee - Product/Eng Stuff,I worked at Snap full-time (More than 3 years),Titanic,Incompetent hires and/ or lazy low IQ / oldies from goog/msft/amzn managers mean tons to take on and drive - truly unique how much you can learn due to incompetent coworkersThey used to pay a ton to get people to relocateThe SoCal weather,"Where do we begin?Management - Evan is an immature average designer who got very lucky. This bred a culture of hiring more like him. Design which reports to him holds a lot of power. I've never seen engineering treated so poorly as it is hereWork culture - some really lazy rest n vest type people hired. Old rejects from Google/AMZN/MSFT fill the ranks. Or people from no name startups.Politics - thats all thats done,all day everyday. turf wars. fighting for things that they couldnt execute on even if they wonCompetition - IG is killing snap. Nothing more to sayLow quality staff - who would relocate to LA? either the best who are paid outrageously (and have already left cuz they are actually good) or the worst...who have stayed back",None,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW20252644.htm
80," Mar 14, 2018",empReview_19694553,Current Employee - Software Engineer,I have been working at Snap full-time (More than 3 years),Vibrant,"Cool product, determined CEO, good perks","Engineering is a little bit ""all over the place""",None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW19694553.htm
